PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Kevin Durant,By Year,2022-23,1610612751,BKN,2023-01-08T00:00:00,39,26,13,0.667,36.0,10.5,18.8,0.559,1.8,4.8,0.376,6.8,7.3,0.934,0.4,6.4,6.7,5.3,3.5,0.8,1.5,0.5,2.4,6.0,29.7,4.8,49.1,5,1,48.1,15,13,14,9,10,1,8,2,13,14,13,5,7,1,18,9,11,6,3,13,3,11,1,4,4,13,4,14,6,4
Kevin Durant,By Year,2021-22,1610612751,BKN,2022-04-10T00:00:00,55,36,19,0.655,37.2,10.5,20.3,0.518,2.1,5.5,0.383,6.8,7.4,0.91,0.5,6.9,7.4,6.4,3.5,0.9,0.9,0.7,2.1,5.9,29.9,4.9,50.3,18,4,49.4,14,11,11,13,7,2,3,8,9,6,12,6,6,2,12,5,6,1,4,12,14,5,4,5,3,12,2,6,1,2
Kevin Durant,By Year,2020-21,1610612751,BKN,2021-05-16T00:00:00,35,23,12,0.657,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.0,6.8,0.882,0.4,6.7,7.1,5.6,3.4,0.7,1.3,0.7,2.0,5.3,26.9,8.0,46.3,12,0,46.0,16,14,15,12,18,10,15,3,5,8,2,10,10,8,16,6,8,3,7,17,5,4,7,6,10,6,10,13,10,9
Anthony Davis,By Year,2023-24,1610612747,LAL,2024-04-14T00:00:00,76,45,31,0.592,35.5,9.4,16.9,0.556,0.4,1.4,0.271,5.5,6.8,0.816,3.1,9.5,12.6,3.5,2.1,1.2,2.3,1.1,2.3,5.4,24.7,2.0,53.6,64,2,48.3,1,2,5,5,4,7,12,2,9,10,7,7,8,3,2,1,1,3,7,11,5,1,8,9,7,7,3,1,1,5
Anthony Davis,By Year,2022-23,1610612747,LAL,2023-04-09T00:00:00,56,31,25,0.554,34.0,9.7,17.2,0.563,0.3,1.3,0.257,6.2,7.9,0.784,3.5,9.1,12.5,2.6,2.2,1.1,2.0,1.0,2.6,5.9,25.9,3.7,52.0,40,0,47.6,9,5,9,8,10,3,9,1,10,11,9,4,4,9,1,3,2,8,5,13,12,2,2,6,5,4,6,5,4,6
Anthony Davis,By Year,2021-22,1610612747,LAL,2022-04-05T00:00:00,40,17,23,0.425,35.1,9.3,17.4,0.532,0.3,1.8,0.186,4.4,6.1,0.713,2.7,7.2,9.9,3.1,2.1,1.2,2.3,0.5,2.4,5.1,23.2,-2.3,47.9,19,0,43.4,12,13,10,11,7,8,8,5,11,9,12,12,11,13,6,10,11,7,9,10,7,14,6,11,10,12,9,12,4,10
Anthony Davis,By Year,2020-21,1610612747,LAL,2021-05-16T00:00:00,36,23,13,0.639,32.3,8.4,17.0,0.491,0.7,2.8,0.26,4.4,5.9,0.738,1.7,6.2,7.9,3.1,2.1,1.3,1.6,0.7,1.7,4.9,21.8,3.2,42.6,12,0,39.3,13,11,13,3,12,11,10,13,5,3,8,11,12,12,13,13,14,6,8,9,14,10,14,12,11,5,13,13,4,13
Anthony Davis,By Year,2019-20,1610612747,LAL,2020-08-10T00:00:00,62,46,16,0.742,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.3,7.0,9.3,3.2,2.5,1.5,2.3,0.7,2.5,6.5,26.1,3.9,50.9,29,0,47.3,7,1,12,1,8,10,6,11,1,1,3,1,2,1,11,11,12,5,1,4,6,11,3,4,3,3,8,10,4,7
Russell Westbrook,By Year,2023-24,1610612746,LAC,2024-04-12T00:00:00,68,45,23,0.662,22.5,4.4,9.8,0.454,0.6,2.3,0.273,1.6,2.4,0.688,1.4,3.7,5.0,4.5,2.1,1.1,0.3,0.6,1.8,1.8,11.1,1.5,26.1,8,1,24.1,11,8,13,6,18,18,18,5,15,15,15,18,18,12,14,12,12,18,18,16,10,17,18,18,18,11,18,16,13,18
Russell Westbrook,By Year,2022-23,-1,TOT,2023-04-09T00:00:00,73,36,37,0.493,29.1,5.9,13.6,0.436,1.2,3.9,0.311,2.8,4.3,0.656,1.2,4.6,5.8,7.5,3.5,1.0,0.5,1.1,2.2,2.9,15.9,-0.3,35.1,24,4,33.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
